ip_address,switch_type
10.30.216.79,Core
10.30.216.82,Core
10.30.216.83,Core
10.151.48.126,Core
10.30.216.94,Core
10.30.216.95,Core
10.30.216.90,Core
10.30.216.91,Core
10.30.216.84,Core
10.151.48.114,Core
10.30.216.86,Core
10.30.216.87,Core
10.30.216.92,Core
10.30.216.93,Core
10.139.240.111,Core
10.139.240.102,Core
10.139.240.101,Core
10.139.240.112,Core
10.151.48.125,Core
10.30.216.78,Core
10.151.48.196,IDF
10.151.48.197,IDF
10.151.48.195,IDF
10.151.48.245,IDF
10.151.48.246,IDF
10.151.48.249,IDF
10.151.48.244,IDF
10.151.59.1,IDF
10.151.59.30,IDF
10.30.80.1,IDF
10.30.80.11,IDF
10.30.80.12,IDF
10.30.80.13,IDF
10.30.111.107,IDF
10.30.111.108,IDF
10.30.111.109,IDF
10.151.56.97,IDF
10.30.111.115,IDF
10.30.111.113,IDF
10.30.111.114,IDF
10.30.111.117,IDF
10.30.111.118,IDF
10.30.40.11,IDF
10.139.240.159,Core
10.151.58.225,IDF
10.151.56.65,IDF
10.151.40.207,IDF
10.151.35.13,IDF
10.151.35.14,IDF
10.151.35.15,IDF
10.151.35.16,IDF
10.151.40.202,IDF
10.151.40.203,IDF
10.151.40.204,IDF
10.151.40.205,IDF
10.151.40.206,IDF
10.151.40.208,IDF
10.139.240.212,IDF
10.139.240.220,IDF
10.139.242.28,IDF
10.151.58.97,IDF
10.30.202.1,IDF
10.30.87.225,IDF
10.30.84.2,Core
10.30.84.3,Core
10.30.68.1,IDF
10.151.58.165,IDF
10.151.58.1,IDF
10.139.162.1,IDF
10.139.163.97,IDF
10.139.242.37,IDF
10.151.57.165,IDF
10.151.58.129,IDF
10.30.111.123,IDF
10.30.111.124,IDF
10.30.111.125,IDF
10.30.111.98,Core
10.30.111.99,Core
10.30.40.8,IDF
10.151.48.198,IDF
10.151.48.199,IDF
10.151.48.200,IDF
10.151.58.65,IDF
10.151.48.186,IDF
10.151.48.187,IDF
10.151.48.188,IDF
10.151.48.189,IDF
10.151.48.190,IDF
10.151.48.161,IDF
10.151.48.162,IDF
10.30.216.70,Core
10.30.216.72,Core
10.151.48.235,IDF
10.30.216.2,Core
10.151.48.237,IDF
10.151.48.238,IDF
10.139.155.1,IDF
10.151.59.34,IDF
10.139.236.1,IDF
10.151.57.33,IDF
10.151.48.159,IDF
10.151.105.129,IDF
10.151.56.225,IDF
10.151.57.97,IDF
10.151.57.193,IDF
10.151.57.65,IDF
10.151.48.181,IDF
10.151.58.33,IDF
10.139.221.1,IDF
10.151.57.225,IDF
10.151.226.1,IDF
10.139.230.1,IDF
10.139.240.230,IDF
10.139.225.1,IDF
10.30.201.220,IDF
10.30.216.81,Core
10.151.50.253,Core
10.151.50.254,Core
10.151.48.193,IDF
10.151.48.194,IDF
10.151.48.191,IDF
10.151.48.185,IDF
10.151.48.240,IDF
10.30.111.97,IDF
10.30.216.80,Core
10.30.69.225,IDF
10.151.48.201,IDF
10.151.48.202,IDF
10.151.48.203,IDF
10.151.48.204,IDF
10.151.48.205,IDF
10.151.48.206,IDF
10.151.48.207,IDF
10.151.48.208,IDF
10.151.48.209,IDF
10.151.49.1,IDF
10.151.48.210,IDF
10.151.48.211,IDF
10.151.48.212,IDF
10.151.48.213,IDF
10.151.48.215,IDF
10.151.48.214,IDF
10.151.48.216,IDF
10.151.48.217,IDF
10.151.48.218,IDF
10.151.48.219,IDF
10.151.48.220,IDF
10.151.48.221,IDF
10.151.48.222,IDF
10.151.48.223,IDF
10.151.48.224,IDF
10.151.48.225,IDF
10.151.48.226,IDF
10.151.48.227,IDF
10.151.48.228,IDF
10.151.49.2,IDF
10.151.48.229,IDF
10.151.48.230,IDF
10.151.48.231,IDF
10.151.48.232,IDF
10.151.48.233,IDF
10.151.48.234,IDF
10.139.20.60,IDF
10.30.216.22,Core
10.151.49.51,IDF
10.30.84.11,IDF
10.30.84.12,IDF
10.151.48.182,IDF
10.151.48.243,IDF
10.139.242.24,IDF
10.151.48.253,IDF
10.30.111.104,IDF
10.30.111.102,IDF
10.30.111.116,IDF
10.30.111.103,IDF
10.30.111.119,IDF
10.30.111.120,IDF
10.30.111.105,IDF
10.30.111.122,IDF
10.151.48.241,IDF
10.151.48.158,IDF
10.151.40.1,IDF
10.151.48.184,IDF
10.151.48.247,IDF
10.151.48.248,IDF
10.151.48.163,IDF
10.151.48.164,IDF
10.151.48.165,IDF
10.151.48.166,IDF
10.151.48.167,IDF
10.151.48.168,IDF
10.151.48.170,IDF
10.151.48.171,IDF
10.151.48.172,IDF
10.151.48.173,IDF
10.151.48.174,IDF
10.151.48.175,IDF
10.151.48.176,IDF
10.151.48.177,IDF
10.151.48.178,IDF
10.151.48.179,IDF
10.151.48.180,IDF
10.151.48.169,IDF
10.151.48.183,IDF
10.30.216.20,Core
10.135.48.5,Core
10.135.48.6,Core
10.30.216.85,Core
10.151.24.2,Core
10.151.24.3,Core
10.30.240.40,IDF
10.139.240.66,Core
10.139.240.67,Core  
10.151.40.253,Core
10.151.40.254,Core
172.16.1.253,Core
10.30.216.6,Core
10.151.48.108,Core
10.151.48.192,IDF